k1_name;k2_name;k1_blocks_per_grid;k2_blocks_per_grid;k1_threads_per_block;k2_threads_per_block;k1_registers;k2_registers;k1_shared_mem_B;k2_shared_mem_B;classification
S_P15;R_T1;110;10;130;130;30;16;0;0;1
S_P15;R_S4;110;4;130;514;30;16;0;0;1
S_P15;S_L8;110;10;130;130;30;56;0;0;1
S_P15;S_J5;110;3;130;258;30;16;0;0;1
S_P15;S_O2;110;3;130;3;30;16;0;0;1
S_P15;S_O4;110;3;130;66;30;55;0;776;0
S_P15;R_E2;110;3;130;514;30;17;0;0;1
S_P15;R_P1;110;4;130;34;30;94;0;0;1
S_P4;R_N1;34;3;130;18;60;53;0;1024;1
S_P4;R_S3;34;4;130;514;60;26;0;16;1
S_P4;P_K1;34;3;130;258;60;33;0;13312;1
S_P4;S_K1;34;10;130;258;60;17;0;2048;1
S_P4;R_T1;34;10;130;130;60;16;0;0;1
S_P4;R_S4;34;4;130;514;60;16;0;0;1
S_P4;S_L8;34;10;130;130;60;56;0;0;1
S_P4;S_O4;34;3;130;66;60;55;0;776;1
S_P4;R_E2;34;3;130;514;60;17;0;0;1
S_P4;R_P1;34;4;130;34;60;94;0;0;1
S_P5;S_O5;110;3;130;66;52;16;0;0;0
S_P5;R_N1;110;3;130;18;52;53;0;1024;1
S_P5;R_T1;110;10;130;130;52;16;0;0;0
S_P5;R_S4;110;4;130;514;52;16;0;0;0
S_P5;S_O2;110;3;130;3;52;16;0;0;0
S_P5;S_O4;110;3;130;66;52;55;0;776;0
S_E2;S_O5;17;3;21;66;64;16;4352;0;1
S_E2;R_N1;17;3;21;18;64;53;4352;1024;1
S_E2;S_J4;17;3;21;258;64;18;4352;0;1
S_E2;R_S3;17;4;21;514;64;26;4352;16;1
S_E2;P_K1;17;3;21;258;64;33;4352;13312;1
S_E2;S_K1;17;10;21;258;64;17;4352;2048;1
S_E2;R_T1;17;10;21;130;64;16;4352;0;0
