k1_name;k2_name;classification;knn;logistic_regression;mlp;xgb
P_G3;R_T1;0;1;0;1;0
P_G3;R_S4;0;0;0;0;0
P_G3;S_O4;0;1;0;1;0
S_O1;S_O1;1;0;0;0;0
S_O1;P_E8;1;1;0;0;1
S_O1;R_X2;1;0;0;0;0
S_O1;R_D2;1;1;0;1;1
S_O1;P_D1;0;0;0;0;0
S_O1;R_X1;1;0;0;1;0
S_O1;P_J1;0;0;0;0;1
S_O1;R_H1;1;0;0;1;1
S_O1;P_H1;1;0;0;1;0
S_O1;P_F1;1;0;0;0;1
S_O1;P_G3;0;1;0;0;1
P_E8;S_O1;1;0;1;0;0
P_E8;P_E8;1;1;1;1;1
P_E8;R_X2;1;0;0;1;0
P_E8;R_D2;1;1;1;1;1
P_E8;P_D1;1;1;0;1;1
P_E8;P_E2;1;1;1;1;1
P_E8;R_X1;1;1;0;1;1
P_E8;P_I1;1;0;0;0;0
P_E8;P_J1;0;1;0;1;1
P_E8;R_H1;1;0;0;0;1
P_E8;R_I1;1;0;0;0;1
P_E8;P_H1;0;1;0;1;1
P_E8;S_M1;0;1;0;1;0
P_E8;P_F1;0;0;1;0;0
P_E8;P_G3;1;0;1;0;0
R_X2;S_O1;1;1;0;1;1
R_X2;P_E8;1;1;0;1;1
R_X2;R_X2;1;0;0;0;0
R_X2;R_D2;0;0;0;0;0
R_X2;P_D1;0;0;0;0;0
R_X2;R_X1;0;0;0;0;0
R_X2;P_J1;1;0;0;1;0
R_X2;R_H1;0;1;0;1;1
R_X2;R_I1;0;1;1;1;0
R_X2;P_H1;0;0;0;0;1
R_X2;P_G3;0;0;0;0;0
R_D2;S_O1;1;1;1;1;0
R_D2;P_E8;1;1;0;1;1
R_D2;P_D1;0;0;0;1;1
R_D2;R_X1;0;0;0;0;1
R_D2;P_J1;0;0;0;1;1
R_D2;R_H1;0;0;0;1;0
R_D2;R_I1;1;0;0;1;1
R_D2;P_H1;0;0;1;0;0
P_D1;S_O1;0;1;0;0;1
P_D1;P_E8;1;1;0;1;1
P_D1;R_D2;0;1;0;1;1
P_D1;P_D1;0;1;1;1;1
P_D1;P_E2;1;1;0;1;1
P_D1;R_X1;0;0;0;0;0
P_D1;P_I1;0;1;0;1;0
P_D1;P_J1;0;1;0;0;0
P_D1;R_H1;1;1;0;1;1
P_D1;R_I1;1;0;0;1;0
P_D1;P_H1;1;0;0;0;0
P_D1;P_F1;0;0;0;0;0
P_D1;P_G3;0;0;0;0;0
P_E2;P_E8;1;1;0;1;1
P_E2;P_E2;0;0;0;0;0
P_E2;P_I1;1;0;0;0;0
P_E2;P_H1;0;1;0;1;1
R_X1;S_O1;0;0;0;1;0
R_X1;P_E8;1;0;0;0;0
R_X1;R_X2;1;0;0;1;0
R_X1;R_D2;0;0;0;0;0
R_X1;P_D1;0;1;0;1;0
R_X1;R_X1;0;1;0;1;0
R_X1;P_J1;0;0;0;0;0
R_X1;R_H1;0;0;0;0;0
R_X1;R_I1;0;1;0;0;0
R_X1;P_H1;0;0;0;0;0
R_X1;P_G3;0;0;0;1;0
P_I1;P_E8;1;0;0;0;0
P_I1;P_D1;0;0;0;0;0
P_I1;P_I1;1;1;0;1;1
P_J1;S_O1;0;0;0;0;0
P_J1;P_E8;1;1;0;1;0
P_J1;R_X2;1;0;0;0;0
P_J1;R_D2;1;1;0;0;1
P_J1;P_D1;0;0;0;0;0
P_J1;R_X1;0;1;0;1;1
P_J1;P_J1;1;0;0;0;0
P_J1;R_H1;0;0;0;0;0
P_J1;R_I1;0;1;0;0;1
P_J1;P_H1;1;0;0;0;1
P_J1;P_F1;1;0;0;0;0
R_H1;S_O1;1;0;0;0;0
R_H1;P_E8;1;1;0;1;0
R_H1;R_X2;0;1;0;0;1
R_H1;R_D2;0;0;0;0;1
R_H1;P_D1;1;1;0;1;0
R_H1;R_X1;0;1;0;1;0
R_H1;P_I1;0;0;0;0;0
R_H1;P_J1;0;0;0;0;0
R_H1;R_H1;0;1;0;1;0
R_H1;R_I1;0;0;0;0;0
R_H1;P_H1;0;1;0;1;0
R_H1;P_F1;0;1;0;1;0
R_H1;P_G3;0;0;0;0;1
R_I1;S_O1;0;0;0;0;0
R_I1;P_E8;1;1;0;1;0
R_I1;R_X2;1;0;0;0;0
R_I1;R_D2;1;0;0;0;0
R_I1;P_D1;1;0;0;0;0
R_I1;P_E2;1;0;0;0;0
R_I1;P_J1;0;0;0;0;0
R_I1;R_H1;0;0;0;0;0
R_I1;R_I1;0;1;0;0;0
R_I1;P_H1;0;0;0;1;0
R_I1;P_F1;0;0;0;0;0
R_I1;P_G3;1;1;0;1;1
P_H1;S_O1;1;0;0;0;0
P_H1;P_E8;0;0;0;0;0
P_H1;R_X2;0;0;0;0;0
P_H1;R_D2;0;0;0;0;0
P_H1;P_D1;0;0;0;0;0
P_H1;R_X1;0;1;0;0;0
P_H1;P_I1;0;0;0;0;1
P_H1;P_J1;1;1;1;1;1
P_H1;R_H1;0;0;0;0;1
P_H1;R_I1;0;1;0;1;1
P_H1;P_H1;0;1;0;0;0
P_H1;P_F1;0;0;0;0;0
P_H1;P_G3;1;1;0;1;1
S_M1;P_E8;0;1;0;1;1
P_F1;S_O1;1;1;1;1;1
P_F1;P_E8;0;1;0;1;1
P_F1;P_D1;0;0;0;0;1
P_F1;P_E2;0;1;0;1;1
P_F1;P_J1;1;1;1;1;1
P_F1;R_H1;0;0;0;0;0
P_F1;R_I1;0;0;0;0;1
P_F1;P_H1;0;0;0;0;0
P_F1;P_F1;0;1;0;1;1
P_G3;S_O1;0;0;0;0;0
P_G3;P_E8;1;1;0;1;0
P_G3;R_X2;0;1;0;1;0
P_G3;P_D1;0;1;0;0;0
P_G3;R_X1;0;0;0;0;0
P_G3;P_J1;1;0;0;0;0
P_G3;R_H1;0;1;0;1;1
P_G3;R_I1;1;1;0;0;0
P_G3;P_H1;1;0;0;0;0
S_O1;P_C4;0;0;0;1;0
S_O1;P_E6;0;1;0;1;1
S_O1;R_J4;1;0;0;0;0
S_O1;S_I1;1;1;0;0;1
S_O1;R_J7;1;1;0;1;0
S_O1;R_B2;1;0;0;0;0
S_O1;P_C1;0;1;1;1;1
S_O1;S_K5;1;0;0;0;1
P_E8;S_J1;0;1;0;0;1
P_E8;P_C4;1;1;0;0;1
P_E8;P_E6;1;1;1;1;1
P_E8;R_J4;0;0;0;1;1
P_E8;R_A1;0;0;0;1;0
P_E8;S_J6;1;1;0;1;1
P_E8;S_I1;0;0;0;0;0
P_E8;R_J7;0;0;0;1;0
P_E8;S_I2;0;1;0;0;1
P_E8;S_L1;0;1;0;1;0
P_E8;R_A2;0;0;0;1;1
P_E8;R_B2;1;0;0;0;0
P_E8;P_C1;0;0;0;0;0
P_E8;S_K5;0;0;0;0;0
R_X2;P_C4;0;1;0;1;1
R_X2;P_E6;1;1;0;1;1
R_X2;R_J4;1;0;0;0;0
R_X2;S_J6;0;1;1;1;1
R_X2;R_J7;0;0;0;0;0
R_X2;R_B2;0;1;1;1;0
R_D2;P_E6;1;0;0;0;0
R_D2;R_J4;1;1;1;1;0
R_D2;R_J7;0;0;0;0;0
R_D2;R_B2;0;1;1;1;1
P_D1;S_J1;1;0;0;0;0
P_D1;P_C4;0;0;0;0;0
P_D1;P_E6;1;1;0;1;1
P_D1;R_J4;0;0;0;0;1
P_D1;R_A1;1;1;0;1;1
P_D1;S_I1;1;1;0;1;1
P_D1;R_J7;0;0;1;1;0
P_D1;S_I2;1;1;0;1;0
P_D1;S_L1;1;0;0;0;1
P_D1;R_A2;1;1;0;1;0
P_D1;R_B2;0;0;0;1;1
P_D1;P_C1;1;0;0;0;1
P_D1;S_K5;0;0;0;0;0
P_E2;P_E6;1;1;1;1;1
P_E2;R_A1;0;1;1;1;0
P_E2;S_J6;0;0;1;1;1
P_E2;R_J7;0;1;1;0;0
P_E2;R_B2;1;1;0;0;1
R_X1;S_J1;0;0;0;0;1
R_X1;P_C4;0;0;0;1;0
R_X1;P_E6;1;1;0;1;1
R_X1;R_J4;0;0;0;1;0
R_X1;S_J6;0;0;0;0;0
R_X1;S_I1;0;1;0;0;0
R_X1;R_J7;0;1;0;0;0
R_X1;S_L1;0;1;0;1;0
R_X1;R_B2;0;0;0;0;0
R_X1;P_C1;0;0;0;0;0
R_X1;S_K5;0;0;0;0;0
P_I1;P_E6;0;1;0;1;0
P_I1;R_J4;0;0;0;0;0
P_I1;R_A1;0;0;0;1;0
P_I1;R_A2;0;1;0;1;0
P_J1;S_J1;0;0;0;1;0
P_J1;P_E6;0;1;0;1;0
P_J1;R_J4;1;0;0;0;0
P_J1;R_A1;0;0;0;0;0
P_J1;S_J6;0;1;0;0;0
P_J1;S_I1;0;0;1;0;0
P_J1;R_J7;0;0;0;0;1
P_J1;R_B2;0;0;0;0;0
P_J1;S_K5;0;0;0;0;0
R_H1;S_J1;0;0;0;0;0
R_H1;P_C4;1;0;0;0;0
R_H1;P_E6;1;1;0;1;0
R_H1;R_J4;0;1;0;1;1
R_H1;R_A1;0;0;0;0;0
R_H1;S_J6;0;0;0;0;0
R_H1;R_J7;0;1;0;1;1
R_H1;S_I2;0;1;0;0;1
R_H1;S_L1;0;1;0;1;0
R_H1;R_A2;0;1;0;1;0
R_H1;R_B2;0;1;0;1;1
R_H1;P_C1;0;1;1;1;1
R_H1;S_K5;0;1;0;1;1
R_I1;S_J1;0;0;0;0;1
R_I1;P_E6;1;0;0;0;0
R_I1;R_J4;1;0;1;0;0
R_I1;S_J6;0;0;0;0;0
R_I1;R_J7;0;1;0;1;0
R_I1;R_B2;1;0;0;0;0
R_I1;S_K5;0;0;0;0;1
P_H1;S_J1;0;0;1;0;0
P_H1;P_C4;0;1;0;0;1
P_H1;P_E6;0;0;0;0;1
P_H1;R_J4;1;0;0;0;0
P_H1;R_A1;0;1;0;0;0
